"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11554",11554,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Florida Republicans"
"11555",11555,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Living people"
"11556",11556,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Members of the Florida House of Representatives"
"11557",11557,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Members of the United States House of Representatives from Florida"
"11558",11558,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","People from Santa Rosa County, Florida"
"11559",11559,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Politicians from St. Petersburg, Florida"
"11560",11560,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","Republican Party members of the United States House of Representatives"
"11561",11561,"Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/DPlbSLjrgc",2,"2014-11-10 20:47:00",531910921321340928,4,"Jeff Miller (Florida politician)","http://t.co/DPlbSLjrgc","US House of Representatives","University of Florida alumni"
"11562",11562,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","1958 births"
"11563",11563,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","21st-century American politicians"
"11564",11564,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","American Episcopalians"
